,id_municipio,sigla_uf,ano,rbc_corrente,rbc_transf,d_educacao,d_educacao_fund,d_educacao_inf,taxa_aprovacao_inicial,indicador_rendimento_inicial,nota_saeb_matematica_inicial,nota_saeb_lingua_portuguesa_inicial,ideb_inicial,taxa_aprovacao_final,indicador_rendimento_final,nota_saeb_matematica_final,nota_saeb_lingua_portuguesa_final,ideb_final,inse_2019,populacao_estimada,populacao_0_15_anos,pib,name_region
96,3506102,SP,2013,146218646.3,112154517.42,51123726.33,26337621.87,18545767.74,95.8,0.96116102,225.36,202.71,5.7,94.6,0.91382903,221.38,225.38,3.8,5.3237,77116,15087,2128817408,Sudeste
97,3506102,SP,2015,217243246.69,144531632.17,56555502.14,30268198.93,18088808.2,97.5,0.97537798,,,6.2,100.0,1.0,,,,5.3237,77247,14448,2786590827,Sudeste
98,3506102,SP,2017,253486553.19,161598943.15,62892034.49,29500156.33,23055455.61,98.0,0.98057002,241.5,226.33,6.6,,,,,,5.3237,77374,14043,3220582682,Sudeste
99,3506102,SP,2019,243722694.23,188550327.53,67841787.97,35409467.78,23375148.3,98.3,0.98289198,239.69,221.02,6.4,,,,,,5.3237,77496,13735,3312844749,Sudeste
124,3142809,MG,2013,47557231.41,38035087.4,10984873.59,7492979.66,2088021.92,90.1,0.89760101,224.02,212.25,5.5,80.5,0.80761802,281.89,276.36,4.8,5.1887,20369,3969,425775486,Sudeste
125,3142809,MG,2015,54450643.92,42912655.08,12320398.55,8771149.52,1875324.03,90.6,0.90433103,,,5.8,75.7,0.75739002,,,4.2,5.1887,20631,3821,507728518,Sudeste
126,3142809,MG,2017,65100964.1,51921706.1,12716216.48,8265028.49,2766043.12,92.6,0.919945,231.13,234.44,6.1,83.3,0.83604997,266.64,288.8,5.0,5.1887,20875,3759,551192878,Sudeste
127,3142809,MG,2019,82281429.36,60597643.0,13462670.77,9003591.67,2905551.25,95.0,0.95133299,230.36,221.67,6.1,84.2,0.83896202,274.64,279.86,5.0,5.1887,21120,3740,522745465,Sudeste
128,3139904,MG,2013,21435645.6,20007074.28,8249575.35,7293065.96,580127.16,99.8,0.99839002,235.64,210.88,6.3,,,,,,5.0706,14347,3085,115864809,Sudeste
129,3139904,MG,2015,27479433.6,25837925.76,9920585.42,8496181.72,950782.03,98.2,0.982678,,,6.0,98.0,0.98162103,,,5.7,5.0706,14259,2873,144970582,Sudeste
130,3139904,MG,2017,31751167.15,29237001.67,9969979.87,8061014.12,1290688.76,98.3,0.98144698,253.55,237.05,7.0,96.3,0.96253502,285.86,270.6,5.7,5.0706,14177,2732,157652919,Sudeste
131,3139904,MG,2019,37174911.89,34323998.68,11127938.75,7986547.03,2097951.0,96.1,0.96113902,253.13,227.58,6.7,96.7,0.96567798,264.54,252.8,5.1,5.0706,14095,2621,183805625,Sudeste
164,3543402,SP,2013,1817644643.35,899897839.19,349046967.34,138543340.89,183367317.62,93.5,0.93568599,239.33,221.0,6.1,93.8,0.92405301,251.17,247.13,4.6,5.3752,648213,125889,24905980615,Sudeste
165,3543402,SP,2015,2112965083.04,1013155751.72,361939261.54,131344883.87,196967410.53,92.2,0.921857,,,6.1,89.6,0.89673299,,,5.2,5.3752,667283,126921,27735074377,Sudeste
166,3543402,SP,2017,2535616979.01,1107302494.6,416463963.95,150107468.7,231679956.67,92.6,0.92631,240.63,228.86,6.2,89.1,0.891761,266.23,268.04,5.0,5.3752,685562,127257,32670176856,Sudeste
167,3543402,SP,2019,2768856106.89,1245010645.8,479235973.22,174858546.88,270151299.01,93.9,0.94051898,232.47,218.88,6.0,90.2,0.90232402,261.61,260.0,4.8,5.3752,703293,128394,35355226789,Sudeste
244,3119955,MG,2013,17081899.69,15426066.24,3319802.31,2318042.62,567952.13,99.7,0.99757701,243.16,221.67,6.6,96.7,0.96666598,280.75,256.45,5.4,5.3274,6047,1157,174585287,Sudeste
245,3119955,MG,2015,18867582.76,16604296.73,4029399.75,2573988.62,935660.7,100.0,1.0,,,7.4,95.1,0.95077002,,,6.2,5.3274,6147,1117,155882968,Sudeste
246,3119955,MG,2017,22141577.81,19367427.04,4781175.28,3098707.48,1102172.87,100.0,1.0,261.02,239.47,7.3,96.8,0.97558397,284.01,284.79,6.0,5.3274,6242,1072,183147583,Sudeste
247,3119955,MG,2019,23738262.1,20833071.31,4990243.36,3372072.14,1001231.66,99.7,0.996759,259.48,238.33,7.2,100.0,1.0,287.38,270.83,6.0,5.3274,6337,1038,174217741,Sudeste
284,3303856,RJ,2013,72373615.89,59820143.28,14749748.4,13880775.1,868973.3,95.2,0.95058501,241.49,218.47,6.2,87.4,0.89082003,249.53,255.74,4.5,4.764,27146,5919,391091925,Sudeste
285,3303856,RJ,2015,81783816.02,61740478.61,17995799.14,15683829.26,1056619.16,95.4,0.95280302,,,6.3,90.8,0.909693,,,4.6,4.764,27341,5637,484175363,Sudeste
286,3303856,RJ,2017,91871519.11,67545331.13,17080272.69,15156570.42,1150884.92,93.2,0.93192899,239.11,232.67,6.3,86.6,0.877832,269.36,273.04,5.0,4.764,27584,5524,534907955,Sudeste
287,3303856,RJ,2019,138241766.98,105075906.32,29489639.73,25167154.65,4081802.41,92.2,0.92300898,244.03,229.83,6.3,91.5,0.92716199,267.0,259.54,5.0,4.764,27769,5444,557210684,Sudeste
300,3200136,ES,2013,28843470.07,26349867.52,8724343.2,5109593.28,1797338.83,96.4,0.96395898,225.08,197.33,5.6,91.4,0.91568202,246.75,236.88,4.3,4.7437,9707,2235,136120138,Sudeste
301,3200136,ES,2015,33845713.85,29194749.64,10009310.79,6325926.25,1369475.91,94.7,0.94643003,,,6.5,84.9,0.84297401,,,4.2,4.7437,9685,2142,162082215,Sudeste
302,3200136,ES,2017,35386217.85,30439841.09,9127981.26,5688421.19,1553390.31,94.8,0.94851798,255.72,235.13,6.8,85.0,0.85169297,252.05,260.13,4.4,4.7437,9663,2076,191693670,Sudeste
303,3200136,ES,2019,44385652.31,36548357.55,13100880.12,8366037.1,2864540.96,94.8,0.94711399,252.03,234.05,6.7,86.1,0.86069202,264.7,253.75,4.6,4.7437,9642,2026,165482645,Sudeste
312,3109808,MG,2013,26093046.96,23242390.81,4362095.22,1983996.81,791550.9,96.2,0.95799899,229.86,207.75,5.9,93.0,0.93054301,260.7,268.22,5.1,5.1399,2599,584,59472777,Sudeste
313,3109808,MG,2015,30225580.62,26178335.09,4054162.77,1958845.07,935837.11,95.8,0.956815,,,5.9,97.5,0.971834,,,5.8,5.1399,2632,573,66791315,Sudeste
